Organism,Week,Treatment,Response
Organism A,1,Treatment 1,0.496714153
Organism A,2,Treatment 1,-0.138264301
Organism A,3,Treatment 1,0.647688538
Organism A,4,Treatment 1,1.523029856
Organism A,5,Treatment 1,-0.234153375
Organism A,6,Treatment 1,-0.234136957
Organism A,7,Treatment 1,1.579212816
Organism A,8,Treatment 1,0.767434729
Organism A,9,Treatment 1,-0.469474386
Organism A,10,Treatment 1,0.542560044
Organism A,11,Treatment 1,-0.463417693
Organism A,12,Treatment 1,-0.465729754
Organism A,1,Treatment 2,0.241962272
Organism A,2,Treatment 2,-1.913280245
Organism A,3,Treatment 2,-1.724917833
Organism A,4,Treatment 2,-0.562287529
Organism A,5,Treatment 2,-1.01283112
Organism A,6,Treatment 2,0.314247333
Organism A,7,Treatment 2,-0.908024076
Organism A,8,Treatment 2,-1.412303701
Organism A,9,Treatment 2,1.465648769
Organism A,10,Treatment 2,-0.2257763
Organism A,11,Treatment 2,0.067528205
Organism A,12,Treatment 2,-1.424748186
Organism A,1,Treatment 3,-0.544382725
Organism A,2,Treatment 3,0.11092259
Organism A,3,Treatment 3,-1.150993577
Organism A,4,Treatment 3,0.375698018
Organism A,5,Treatment 3,-0.60063869
Organism A,6,Treatment 3,-0.29169375
Organism A,7,Treatment 3,-0.601706612
Organism A,8,Treatment 3,1.852278185
Organism A,9,Treatment 3,-0.013497225
Organism A,10,Treatment 3,-1.057710929
Organism A,11,Treatment 3,0.822544912
Organism A,12,Treatment 3,-1.22084365
Organism B,1,Treatment 1,0.208863595
Organism B,2,Treatment 1,-1.959670124
Organism B,3,Treatment 1,-1.328186049
Organism B,4,Treatment 1,0.196861236
Organism B,5,Treatment 1,0.73846658
Organism B,6,Treatment 1,0.171368281
Organism B,7,Treatment 1,-0.115648282
Organism B,8,Treatment 1,-0.301103696
Organism B,9,Treatment 1,-1.47852199
Organism B,10,Treatment 1,-0.719844208
Organism B,11,Treatment 1,-0.460638771
Organism B,12,Treatment 1,1.057122226
Organism B,1,Treatment 2,0.34361829
Organism B,2,Treatment 2,-1.763040155
Organism B,3,Treatment 2,0.324083969
Organism B,4,Treatment 2,-0.38508228
Organism B,5,Treatment 2,-0.676922
Organism B,6,Treatment 2,0.611676289
Organism B,7,Treatment 2,1.030999522
Organism B,8,Treatment 2,0.931280119
Organism B,9,Treatment 2,-0.839217523
Organism B,10,Treatment 2,-0.309212376
Organism B,11,Treatment 2,0.331263431
Organism B,12,Treatment 2,0.975545127
Organism B,1,Treatment 3,-0.479174238
Organism B,2,Treatment 3,-0.185658977
Organism B,3,Treatment 3,-1.106334974
